"ensembl_gene_id" "external_gene_name" "description"
"1" "ENSDARG00000000551" "slc1a4" "solute carrier family 1 (glutamate/neutral amino acid transporter), member 4 [Source:ZFIN;Acc:ZDB-GENE-030616-566]"
"2" "ENSDARG00000000567" "znf281a" "zinc finger protein 281a [Source:ZFIN;Acc:ZDB-GENE-131126-34]"
"3" "ENSDARG00000001447" "mier1b" "mesoderm induction early response 1b, transcriptional regulator [Source:ZFIN;Acc:ZDB-GENE-070705-170]"
"4" "ENSDARG00000001889" "tuba1a" "tubulin, alpha 1a [Source:ZFIN;Acc:ZDB-GENE-090507-4]"
"5" "ENSDARG00000002230" "sypb" "synaptophysin b [Source:ZFIN;Acc:ZDB-GENE-040718-205]"
"6" "ENSDARG00000002467" "rdh14b" "retinol dehydrogenase 14b [Source:ZFIN;Acc:ZDB-GENE-030131-6605]"
"7" "ENSDARG00000003061" "cd276" "CD276 molecule [Source:ZFIN;Acc:ZDB-GENE-070112-452]"
"8" "ENSDARG00000003399" "fgf8a" "fibroblast growth factor 8a [Source:ZFIN;Acc:ZDB-GENE-990415-72]"
"9" "ENSDARG00000004754" "hspa4a" "heat shock protein 4a [Source:ZFIN;Acc:ZDB-GENE-040426-2832]"
"10" "ENSDARG00000005454" "tacc3" "transforming, acidic coiled-coil containing protein 3 [Source:ZFIN;Acc:ZDB-GENE-050522-327]"
"11" "ENSDARG00000005840" "got2b" "glutamic-oxaloacetic transaminase 2b, mitochondrial [Source:ZFIN;Acc:ZDB-GENE-030131-7917]"
"12" "ENSDARG00000006527" "brd3a" "bromodomain containing 3a [Source:ZFIN;Acc:ZDB-GENE-030131-6141]"
"13" "ENSDARG00000007377" "odc1" "ornithine decarboxylase 1 [Source:ZFIN;Acc:ZDB-GENE-010816-1]"
"14" "ENSDARG00000008200" "ugp2b" "UDP-glucose pyrophosphorylase 2b [Source:ZFIN;Acc:ZDB-GENE-030131-6352]"
"15" "ENSDARG00000009194" "col16a1" "collagen, type XVI, alpha 1 [Source:ZFIN;Acc:ZDB-GENE-060503-351]"
"16" "ENSDARG00000010276" "ptgs2b" "prostaglandin-endoperoxide synthase 2b [Source:ZFIN;Acc:ZDB-GENE-041014-323]"
"17" "ENSDARG00000010571" "ezh2" "enhancer of zeste 2 polycomb repressive complex 2 subunit [Source:ZFIN;Acc:ZDB-GENE-041111-259]"
"18" "ENSDARG00000011122" "pptc7a" "PTC7 protein phosphatase homolog a [Source:ZFIN;Acc:ZDB-GENE-041114-74]"
"19" "ENSDARG00000011247" "rnpc3" "RNA-binding region (RNP1, RRM) containing 3 [Source:ZFIN;Acc:ZDB-GENE-060312-35]"
"20" "ENSDARG00000012138" "sgce" "sarcoglycan, epsilon [Source:ZFIN;Acc:ZDB-GENE-030724-1]"
"21" "ENSDARG00000012649" "SMAD4 (1 of many)" "expressed sequence CR929477 [Source:ZFIN;Acc:ZDB-GENE-141211-39]"
"22" "ENSDARG00000013302" "gpx8" "glutathione peroxidase 8 (putative) [Source:ZFIN;Acc:ZDB-GENE-040426-965]"
"23" "ENSDARG00000013926" "slc16a9a" "solute carrier family 16, member 9a [Source:ZFIN;Acc:ZDB-GENE-040426-1364]"
"24" "ENSDARG00000014324" "sh2d5" "SH2 domain containing 5 [Source:ZFIN;Acc:ZDB-GENE-050327-67]"
"25" "ENSDARG00000014793" "ehd1b" "EH-domain containing 1b [Source:ZFIN;Acc:ZDB-GENE-030131-2069]"
"26" "ENSDARG00000016253" "ralab" "v-ral simian leukemia viral oncogene homolog Ab (ras related) [Source:ZFIN;Acc:ZDB-GENE-041114-195]"
"27" "ENSDARG00000016375" "asns" "asparagine synthetase [Source:ZFIN;Acc:ZDB-GENE-040426-1091]"
"28" "ENSDARG00000018048" "zgc:171704" "zgc:171704 [Source:ZFIN;Acc:ZDB-GENE-070820-16]"
"29" "ENSDARG00000018399" "rps6kb1a" "ribosomal protein S6 kinase b, polypeptide 1a [Source:ZFIN;Acc:ZDB-GENE-091113-52]"
"30" "ENSDARG00000018491" "pdia4" "protein disulfide isomerase family A, member 4 [Source:ZFIN;Acc:ZDB-GENE-030131-5493]"
"31" "ENSDARG00000019062" "arpc5b" "actin related protein 2/3 complex, subunit 5B [Source:ZFIN;Acc:ZDB-GENE-040120-7]"
"32" "ENSDARG00000020645" "slc7a3a" "solute carrier family 7 (cationic amino acid transporter, y+ system), member 3a [Source:ZFIN;Acc:ZDB-GENE-041114-206]"
"33" "ENSDARG00000021433" "asmtl" "acetylserotonin O-methyltransferase-like [Source:ZFIN;Acc:ZDB-GENE-030131-2854]"
"34" "ENSDARG00000025071" "brd8" "bromodomain containing 8 [Source:ZFIN;Acc:ZDB-GENE-030722-10]"
"35" "ENSDARG00000025549" "ndufaf1" "NADH:ubiquinone oxidoreductase complex assembly factor 1 [Source:ZFIN;Acc:ZDB-GENE-050306-9]"
"36" "ENSDARG00000025948" "mlh1" "mutL homolog 1, colon cancer, nonpolyposis type 2 (E. coli) [Source:ZFIN;Acc:ZDB-GENE-040426-1600]"
"37" "ENSDARG00000029112" "gem" "GTP binding protein overexpressed in skeletal muscle [Source:ZFIN;Acc:ZDB-GENE-060825-251]"
"38" "ENSDARG00000029370" "ankrd6b" "ankyrin repeat domain 6b [Source:ZFIN;Acc:ZDB-GENE-030916-4]"
"39" "ENSDARG00000030972" "dnaja1" "DnaJ heat shock protein family (Hsp40) member A1 [Source:ZFIN;Acc:ZDB-GENE-030131-2642]"
"40" "ENSDARG00000031382" "reep2" "receptor accessory protein 2 [Source:ZFIN;Acc:ZDB-GENE-050706-125]"
"41" "ENSDARG00000032083" "dpysl2b" "dihydropyrimidinase-like 2b [Source:ZFIN;Acc:ZDB-GENE-031105-1]"
"42" "ENSDARG00000033134" "ndufaf7" "NADH:ubiquinone oxidoreductase complex assembly factor 7 [Source:ZFIN;Acc:ZDB-GENE-060929-628]"
"43" "ENSDARG00000035859" "angptl4" "angiopoietin-like 4 [Source:ZFIN;Acc:ZDB-GENE-041111-222]"
"44" "ENSDARG00000035910" "znf281b" "zinc finger protein 281b [Source:ZFIN;Acc:ZDB-GENE-050220-1]"
"45" "ENSDARG00000036028" "arrdc3b" "arrestin domain containing 3b [Source:ZFIN;Acc:ZDB-GENE-040912-182]"
"46" "ENSDARG00000036510" "ccnt2b" "cyclin T2b [Source:ZFIN;Acc:ZDB-GENE-030131-183]"
