"ensembl_gene_id" "external_gene_name" "description"
"1" "ENSDARG00000000551" "slc1a4" "solute carrier family 1 (glutamate/neutral amino acid transporter), member 4 [Source:ZFIN;Acc:ZDB-GENE-030616-566]"
"2" "ENSDARG00000001889" "tuba1a" "tubulin, alpha 1a [Source:ZFIN;Acc:ZDB-GENE-090507-4]"
"3" "ENSDARG00000002210" "stk25a" "serine/threonine kinase 25a [Source:ZFIN;Acc:ZDB-GENE-041010-92]"
"4" "ENSDARG00000002285" "mcoln1a" "mucolipin 1a [Source:ZFIN;Acc:ZDB-GENE-040426-2704]"
"5" "ENSDARG00000002347" "cyp11a1" "cytochrome P450, family 11, subfamily A, polypeptide 1 [Source:ZFIN;Acc:ZDB-GENE-010306-1]"
"6" "ENSDARG00000002790" "ap2m1a" "adaptor related protein complex 2 subunit mu 1a [Source:ZFIN;Acc:ZDB-GENE-030131-9784]"
"7" "ENSDARG00000003244" "gbp3" "guanylate binding protein 3 [Source:ZFIN;Acc:ZDB-GENE-070912-176]"
"8" "ENSDARG00000004754" "hspa4a" "heat shock protein 4a [Source:ZFIN;Acc:ZDB-GENE-040426-2832]"
"9" "ENSDARG00000004870" "psen1" "presenilin 1 [Source:ZFIN;Acc:ZDB-GENE-991119-4]"
"10" "ENSDARG00000005454" "tacc3" "transforming, acidic coiled-coil containing protein 3 [Source:ZFIN;Acc:ZDB-GENE-050522-327]"
"11" "ENSDARG00000005840" "got2b" "glutamic-oxaloacetic transaminase 2b, mitochondrial [Source:ZFIN;Acc:ZDB-GENE-030131-7917]"
"12" "ENSDARG00000006031" "abat" "4-aminobutyrate aminotransferase [Source:ZFIN;Acc:ZDB-GENE-031006-4]"
"13" "ENSDARG00000006124" "kdm5c" "lysine (K)-specific demethylase 5C [Source:ZFIN;Acc:ZDB-GENE-060810-94]"
"14" "ENSDARG00000006169" "lrrk2" "leucine-rich repeat kinase 2 [Source:ZFIN;Acc:ZDB-GENE-071218-6]"
"15" "ENSDARG00000006527" "brd3a" "bromodomain containing 3a [Source:ZFIN;Acc:ZDB-GENE-030131-6141]"
"16" "ENSDARG00000007377" "odc1" "ornithine decarboxylase 1 [Source:ZFIN;Acc:ZDB-GENE-010816-1]"
"17" "ENSDARG00000008155" "sms" "spermine synthase [Source:ZFIN;Acc:ZDB-GENE-040625-150]"
"18" "ENSDARG00000008660" "coro1b" "coronin, actin binding protein, 1B [Source:ZFIN;Acc:ZDB-GENE-040123-3]"
"19" "ENSDARG00000010144" "plppr3a" "phospholipid phosphatase related 3a [Source:ZFIN;Acc:ZDB-GENE-070912-555]"
"20" "ENSDARG00000010420" "ndrg1b" "N-myc downstream regulated 1b [Source:ZFIN;Acc:ZDB-GENE-040426-1648]"
"21" "ENSDARG00000010791" "dla" "deltaA [Source:ZFIN;Acc:ZDB-GENE-980526-29]"
"22" "ENSDARG00000011122" "pptc7a" "PTC7 protein phosphatase homolog a [Source:ZFIN;Acc:ZDB-GENE-041114-74]"
"23" "ENSDARG00000011370" "fyna" "FYN proto-oncogene, Src family tyrosine kinase a [Source:ZFIN;Acc:ZDB-GENE-030903-5]"
"24" "ENSDARG00000011870" "sp8a" "sp8 transcription factor a [Source:ZFIN;Acc:ZDB-GENE-030131-9849]"
"25" "ENSDARG00000012932" "mat2b" "methionine adenosyltransferase II, beta [Source:ZFIN;Acc:ZDB-GENE-030131-786]"
"26" "ENSDARG00000013379" "ppp6r3" "protein phosphatase 6, regulatory subunit 3 [Source:ZFIN;Acc:ZDB-GENE-030131-3251]"
"27" "ENSDARG00000013926" "slc16a9a" "solute carrier family 16, member 9a [Source:ZFIN;Acc:ZDB-GENE-040426-1364]"
"28" "ENSDARG00000014068" "pgam1b" "phosphoglycerate mutase 1b [Source:ZFIN;Acc:ZDB-GENE-030131-5376]"
"29" "ENSDARG00000014915" "ndufab1b" "NADH:ubiquinone oxidoreductase subunit AB1b [Source:ZFIN;Acc:ZDB-GENE-030131-4437]"
"30" "ENSDARG00000015349" "mfge8a" "milk fat globule-EGF factor 8 protein a [Source:ZFIN;Acc:ZDB-GENE-050327-9]"
"31" "ENSDARG00000015546" "alpl" "alkaline phosphatase, biomineralization associated [Source:ZFIN;Acc:ZDB-GENE-040420-1]"
"32" "ENSDARG00000016233" "sdr16c5a" "short chain dehydrogenase/reductase family 16C, member 5a [Source:ZFIN;Acc:ZDB-GENE-040426-2049]"
"33" "ENSDARG00000016253" "ralab" "v-ral simian leukemia viral oncogene homolog Ab (ras related) [Source:ZFIN;Acc:ZDB-GENE-041114-195]"
"34" "ENSDARG00000016375" "asns" "asparagine synthetase [Source:ZFIN;Acc:ZDB-GENE-040426-1091]"
"35" "ENSDARG00000016477" "eif4a2" "eukaryotic translation initiation factor 4A, isoform 2 [Source:ZFIN;Acc:ZDB-GENE-040426-2802]"
"36" "ENSDARG00000017590" "nit2" "nitrilase family, member 2 [Source:ZFIN;Acc:ZDB-GENE-050522-65]"
"37" "ENSDARG00000017772" "mdh1aa" "malate dehydrogenase 1Aa, NAD (soluble) [Source:ZFIN;Acc:ZDB-GENE-040204-1]"
"38" "ENSDARG00000018048" "zgc:171704" "zgc:171704 [Source:ZFIN;Acc:ZDB-GENE-070820-16]"
"39" "ENSDARG00000018491" "pdia4" "protein disulfide isomerase family A, member 4 [Source:ZFIN;Acc:ZDB-GENE-030131-5493]"
"40" "ENSDARG00000019062" "arpc5b" "actin related protein 2/3 complex, subunit 5B [Source:ZFIN;Acc:ZDB-GENE-040120-7]"
"41" "ENSDARG00000019236" "gsr" "glutathione reductase [Source:ZFIN;Acc:ZDB-GENE-050522-116]"
"42" "ENSDARG00000019541" "gpt2l" "glutamic pyruvate transaminase (alanine aminotransferase) 2, like [Source:ZFIN;Acc:ZDB-GENE-050302-11]"
"43" "ENSDARG00000019613" "ip6k2b" "inositol hexakisphosphate kinase 2b [Source:ZFIN;Acc:ZDB-GENE-040718-85]"
"44" "ENSDARG00000019856" "atp1a1b" "ATPase Na+/K+ transporting subunit alpha 1b [Source:ZFIN;Acc:ZDB-GENE-001212-5]"
"45" "ENSDARG00000019963" "sfxn1" "sideroflexin 1 [Source:ZFIN;Acc:ZDB-GENE-040801-45]"
"46" "ENSDARG00000019998" "slc30a7" "solute carrier family 30 (zinc transporter), member 7 [Source:ZFIN;Acc:ZDB-GENE-030131-5650]"
"47" "ENSDARG00000020164" "efnb2a" "ephrin-B2a [Source:ZFIN;Acc:ZDB-GENE-990415-67]"
"48" "ENSDARG00000020228" "usf2" "upstream transcription factor 2, c-fos interacting [Source:ZFIN;Acc:ZDB-GENE-030131-8475]"
"49" "ENSDARG00000020448" "adi1" "acireductone dioxygenase 1 [Source:ZFIN;Acc:ZDB-GENE-030131-2799]"
"50" "ENSDARG00000020645" "slc7a3a" "solute carrier family 7 (cationic amino acid transporter, y+ system), member 3a [Source:ZFIN;Acc:ZDB-GENE-041114-206]"
